Transaction_ID,Date,Region,City,Product,Channel,Units_Sold,Unit_Price ,Revenue ,Cost_per_Unit ,Total_Cost ,Profit
T00020,01-01-2023,Upper Palatinate,Nuremberg,Coca-Cola,Online,14619,0.81,11791.06,0.6,8827.81,2963.25
T00021,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Retail,11022,0.92,10187.99,0.54,5941.65,4246.34
T00022,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Supermarket,19765,0.93,18447.82,0.61,12043.62,6404.2
T00023,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Club/Bar,8661,0.94,8163.82,0.68,5881.69,2282.13
T00024,01-01-2023,Upper Palatinate,Nuremberg,Pepsi,Online,16232,1.18,19214.58,0.56,9106.19,10108.39
T00025,01-01-2023,Lower Bavaria,Augsburg,Club-Mate,Retail,3963,1.23,4874.79,0.83,3289.32,1585.47
T00026,01-01-2023,Lower Bavaria,Augsburg,Club-Mate,Supermarket,3400,1.24,4230.07,0.92,3120.74,1109.33
T00027,01-01-2023,Lower Bavaria,Augsburg,Club-Mate,Club/Bar,5998,1.39,8358.12,0.98,5867.48,2490.64
T00028,01-01-2023,Lower Bavaria,Augsburg,Club-Mate,Online,3824,1.26,4809.44,0.91,3489.6,1319.84
T00029,01-01-2023,Lower Bavaria,Augsburg,Coca-Cola,Retail,16838,1.16,19466.42,0.65,10926.23,8540.19
T00030,01-01-2023,Lower Bavaria,Augsburg,Coca-Cola,Supermarket,13844,0.88,12209.26,0.65,8982.8,3226.45
T00031,01-01-2023,Lower Bavaria,Augsburg,Coca-Cola,Club/Bar,8335,1.1,9185.92,0.64,5350.1,3835.81
T00032,01-01-2023,Lower Bavaria,Augsburg,Coca-Cola,Online,10796,1.16,12519.33,0.57,6113.64,6405.69
T00033,01-01-2023,Lower Bavaria,Augsburg,Pepsi,Retail,11001,0.83,9141.76,0.58,6430.75,2711.01
T00034,01-01-2023,Lower Bavaria,Augsburg,Pepsi,Supermarket,16209,1.08,17474.98,0.52,8501.76,8973.22
T00035,01-01-2023,Lower Bavaria,Augsburg,Pepsi,Club/Bar,11733,1.08,12618.28,0.67,7841.7,4776.57
T00036,01-01-2023,Lower Bavaria,Augsburg,Pepsi,Online,17999,1.12,20203.46,0.51,9171.99,11031.47
T00037,01-01-2023,Franconia,Regensburg,Club-Mate,Retail,2713,1.29,3511.04,0.82,2221.03,1290
T00038,01-01-2023,Franconia,Regensburg,Club-Mate,Supermarket,2894,1.24,3577.27,0.94,2726.56,850.71
T00039,01-01-2023,Franconia,Regensburg,Club-Mate,Club/Bar,6826,1.44,9838.18,0.97,6639.03,3199.14
T00040,01-01-2023,Franconia,Regensburg,Club-Mate,Online,4538,1.32,5995.86,0.84,3834.42,2161.44
T00041,01-01-2023,Franconia,Regensburg,Coca-Cola,Retail,13251,0.86,11359.03,0.68,9020.11,2338.91
T00042,01-01-2023,Franconia,Regensburg,Coca-Cola,Supermarket,8757,1.18,10348.46,0.7,6125.56,4222.9
T00043,01-01-2023,Franconia,Regensburg,Coca-Cola,Club/Bar,19948,1.07,21254.53,0.55,10904.9,10349.63
T00044,01-01-2023,Franconia,Regensburg,Coca-Cola,Online,18429,0.82,15045.02,0.63,11637.53,3407.49
T00045,01-01-2023,Franconia,Regensburg,Pepsi,Retail,17831,1.17,20858.81,0.58,10421.91,10436.89
T00046,01-01-2023,Franconia,Regensburg,Pepsi,Supermarket,11537,0.82,9420.69,0.62,7139.63,2281.06
T00047,01-01-2023,Franconia,Regensburg,Pepsi,Club/Bar,18187,0.91,16617.82,0.6,10912.46,5705.35
T00048,01-01-2023,Franconia,Regensburg,Pepsi,Online,16396,0.89,14521.5,0.5,8274.35,6247.15
T00049,01-01-2023,Lower Bavaria,Würzburg,Club-Mate,Retail,2759,1.49,4111.89,0.84,2325.64,1786.25
T00050,01-01-2023,Lower Bavaria,Würzburg,Club-Mate,Supermarket,2565,1.25,3205.25,0.86,2199.78,1005.46
T00051,01-01-2023,Lower Bavaria,Würzburg,Club-Mate,Club/Bar,2433,1.4,3399.7,0.9,2186.97,1212.72
T00052,01-01-2023,Lower Bavaria,Würzburg,Club-Mate,Online,4319,1.48,6412.89,0.93,4003.57,2409.32
T00053,01-01-2023,Lower Bavaria,Würzburg,Coca-Cola,Retail,13786,0.96,13263.97,0.6,8304.67,4959.31
T00054,01-01-2023,Lower Bavaria,Würzburg,Coca-Cola,Supermarket,19760,0.95,18704.74,0.64,12584.85,6119.89
T00055,01-01-2023,Lower Bavaria,Würzburg,Coca-Cola,Club/Bar,19106,1.09,20830.05,0.58,11147,9683.06
T00056,01-01-2023,Lower Bavaria,Würzburg,Coca-Cola,Online,13535,1.1,14885.27,0.56,7621.94,7263.33
T00057,01-01-2023,Lower Bavaria,Würzburg,Pepsi,Retail,15143,1.16,17561.01,0.68,10337.36,7223.64
T00058,01-01-2023,Lower Bavaria,Würzburg,Pepsi,Supermarket,19260,0.84,16133.83,0.64,12404.26,3729.57
T00059,01-01-2023,Lower Bavaria,Würzburg,Pepsi,Club/Bar,13251,0.88,11667.9,0.61,8103.42,3564.48
T00060,01-01-2023,Lower Bavaria,Würzburg,Pepsi,Online,15334,0.91,14020.95,0.56,8524.23,5496.72
T00061,01-01-2023,Lower Bavaria,Ingolstadt,Club-Mate,Retail,6270,1.32,8253.09,0.97,6076.54,2176.55
T00062,01-01-2023,Lower Bavaria,Ingolstadt,Club-Mate,Supermarket,3574,1.4,4986.56,0.82,2944.78,2041.78
T00063,01-01-2023,Lower Bavaria,Ingolstadt,Club-Mate,Club/Bar,4788,1.4,6725.83,0.99,4756.01,1969.82
T00064,01-01-2023,Lower Bavaria,Ingolstadt,Club-Mate,Online,2478,1.37,3389.35,0.85,2102.97,1286.38
T00065,01-01-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Retail,13714,0.98,13496.63,0.68,9318.07,4178.56
T00066,01-01-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Supermarket,17708,1.05,18540.72,0.52,9252.79,9287.94
T00067,01-01-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Club/Bar,16907,1.17,19708.35,0.55,9325.31,10383.04
T00068,01-01-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Online,9157,0.92,8412.34,0.67,6130.87,2281.47
T00069,01-01-2023,Lower Bavaria,Ingolstadt,Pepsi,Retail,8267,1.09,9042.73,0.54,4498.12,4544.6
T00070,01-01-2023,Lower Bavaria,Ingolstadt,Pepsi,Supermarket,16360,1.16,18945.5,0.66,10726.93,8218.57
T00071,01-01-2023,Lower Bavaria,Ingolstadt,Pepsi,Club/Bar,16714,0.8,13399.47,0.54,9091.34,4308.13
T00072,01-01-2023,Lower Bavaria,Ingolstadt,Pepsi,Online,13591,1.07,14587.98,0.55,7469.42,7118.56
T00073,01-01-2023,Upper Franconia,Erlangen,Club-Mate,Retail,3246,1.5,4857.02,0.88,2842.99,2014.03
T00074,01-01-2023,Upper Franconia,Erlangen,Club-Mate,Supermarket,5641,1.31,7399.78,0.94,5323.21,2076.57
T00075,01-01-2023,Upper Franconia,Erlangen,Club-Mate,Club/Bar,3408,1.49,5085.32,0.92,3149.06,1936.25
T00076,01-01-2023,Upper Franconia,Erlangen,Club-Mate,Online,4465,1.27,5658.79,0.82,3653.49,2005.31
T00077,01-01-2023,Upper Franconia,Erlangen,Coca-Cola,Retail,12479,0.97,12118.41,0.68,8459.04,3659.37
T00078,01-01-2023,Upper Franconia,Erlangen,Coca-Cola,Supermarket,15153,1.04,15792.79,0.54,8245.03,7547.76
T00079,01-01-2023,Upper Franconia,Erlangen,Coca-Cola,Club/Bar,8118,1.03,8380.68,0.59,4755.27,3625.41
T00080,01-01-2023,Upper Franconia,Erlangen,Coca-Cola,Online,17348,0.92,15926.9,0.66,11503.44,4423.46
T00081,01-01-2023,Upper Franconia,Erlangen,Pepsi,Retail,11647,1.04,12070.37,0.67,7839.36,4231.01
T00082,01-01-2023,Upper Franconia,Erlangen,Pepsi,Supermarket,16341,0.96,15707.4,0.53,8738.57,6968.83
T00083,01-01-2023,Upper Franconia,Erlangen,Pepsi,Club/Bar,16657,0.95,15834.34,0.68,11349.3,4485.05
T00084,01-01-2023,Upper Franconia,Erlangen,Pepsi,Online,11358,0.92,10392.74,0.63,7170.8,3221.94
T00085,01-01-2023,Franconia,Bayreuth,Club-Mate,Retail,4564,1.26,5761.07,0.83,3792.89,1968.18
T00086,01-01-2023,Franconia,Bayreuth,Club-Mate,Supermarket,2156,1.37,2948.84,0.88,1901.1,1047.74
T00087,01-01-2023,Franconia,Bayreuth,Club-Mate,Club/Bar,2531,1.37,3458.6,0.83,2103.4,1355.2
T00088,01-01-2023,Franconia,Bayreuth,Club-Mate,Online,2209,1.44,3180.05,0.9,1992.1,1187.95
T00089,01-01-2023,Franconia,Bayreuth,Coca-Cola,Retail,18340,0.84,15326.64,0.63,11579.25,3747.4
T00090,01-01-2023,Franconia,Bayreuth,Coca-Cola,Supermarket,13938,0.98,13631.7,0.65,9051.54,4580.16
T00091,01-01-2023,Franconia,Bayreuth,Coca-Cola,Club/Bar,8064,1.15,9251.53,0.56,4535.54,4715.99
T00092,01-01-2023,Franconia,Bayreuth,Coca-Cola,Online,19125,0.88,16882.18,0.66,12675.88,4206.31
T00093,01-01-2023,Franconia,Bayreuth,Pepsi,Retail,8278,1.04,8610.73,0.57,4704.84,3905.89
T00094,01-01-2023,Franconia,Bayreuth,Pepsi,Supermarket,12019,0.89,10656.57,0.61,7356.77,3299.81
T00095,01-01-2023,Franconia,Bayreuth,Pepsi,Club/Bar,18236,1.03,18857.3,0.54,9925.34,8931.96
T00096,01-01-2023,Franconia,Bayreuth,Pepsi,Online,11725,1.18,13801.35,0.61,7144.14,6657.2
T00097,01-01-2023,Upper Palatinate,Bamberg,Club-Mate,Retail,2759,1.35,3712.83,0.86,2362.34,1350.49
T00098,01-01-2023,Upper Palatinate,Bamberg,Club-Mate,Supermarket,2344,1.46,3418.96,0.97,2282.7,1136.26
T00099,01-01-2023,Upper Palatinate,Bamberg,Club-Mate,Club/Bar,2654,1.25,3321.02,0.9,2376.01,945.01
T00100,01-01-2023,Upper Palatinate,Bamberg,Club-Mate,Online,3989,1.27,5049.35,0.84,3362.7,1686.65
T00101,01-01-2023,Upper Palatinate,Bamberg,Coca-Cola,Retail,15362,1.07,16427.72,0.52,7997.59,8430.13
T00102,01-01-2023,Upper Palatinate,Bamberg,Coca-Cola,Supermarket,11552,0.85,9862.97,0.63,7302.85,2560.12
T00103,01-01-2023,Upper Palatinate,Bamberg,Coca-Cola,Club/Bar,10904,0.86,9425.42,0.63,6850.74,2574.68
T00104,01-01-2023,Upper Palatinate,Bamberg,Coca-Cola,Online,13392,0.88,11797.75,0.64,8622.85,3174.9
T00105,01-01-2023,Upper Palatinate,Bamberg,Pepsi,Retail,15981,1.2,19148.34,0.65,10446.59,8701.75
T00106,01-01-2023,Upper Palatinate,Bamberg,Pepsi,Supermarket,10606,1.16,12327.02,0.56,5921.79,6405.23
T00107,01-01-2023,Upper Palatinate,Bamberg,Pepsi,Club/Bar,9930,0.88,8769.06,0.64,6306.76,2462.31
T00108,01-01-2023,Upper Palatinate,Bamberg,Pepsi,Online,15826,1.14,18112.1,0.68,10764.21,7347.89
T00109,01-01-2023,Swabia,Passau,Club-Mate,Retail,2640,1.4,3699.27,0.96,2530.33,1168.95
T00110,01-01-2023,Swabia,Passau,Club-Mate,Supermarket,4856,1.41,6852.35,0.8,3891.17,2961.18
T00111,01-01-2023,Swabia,Passau,Club-Mate,Club/Bar,4168,1.48,6147.94,0.88,3648.62,2499.32
T00112,01-01-2023,Swabia,Passau,Club-Mate,Online,5362,1.49,8011.96,0.9,4816.83,3195.13
T00113,01-01-2023,Swabia,Passau,Coca-Cola,Retail,14564,1.08,15679.31,0.67,9827.64,5851.67
T00114,01-01-2023,Swabia,Passau,Coca-Cola,Supermarket,13269,0.83,11070.17,0.54,7102.06,3968.1
T00115,01-01-2023,Swabia,Passau,Coca-Cola,Club/Bar,16126,1.14,18376.83,0.51,8188.83,10188
T00116,01-01-2023,Swabia,Passau,Coca-Cola,Online,18282,0.85,15592.14,0.57,10498.74,5093.4
T00117,01-01-2023,Swabia,Passau,Pepsi,Retail,18261,1.17,21295.37,0.52,9485.06,11810.3
T00118,01-01-2023,Swabia,Passau,Pepsi,Supermarket,19057,1.13,21556.37,0.61,11678.49,9877.89
T00119,01-01-2023,Swabia,Passau,Pepsi,Club/Bar,9872,1.17,11544.27,0.57,5663.33,5880.93
T00120,01-01-2023,Swabia,Passau,Pepsi,Online,8802,1.16,10240.87,0.7,6145.73,4095.14
T00121,01-01-2023,Upper Bavaria,Rosenheim,Club-Mate,Retail,6515,1.38,8995.21,0.84,5443.42,3551.79
T00122,01-01-2023,Upper Bavaria,Rosenheim,Club-Mate,Supermarket,5500,1.32,7284.42,0.97,5328.44,1955.98
T00123,01-01-2023,Upper Bavaria,Rosenheim,Club-Mate,Club/Bar,3599,1.43,5159.8,0.86,3079.73,2080.07
T00124,01-01-2023,Upper Bavaria,Rosenheim,Club-Mate,Online,6854,1.42,9742.76,0.9,6138.16,3604.59
T00125,01-01-2023,Upper Bavaria,Rosenheim,Coca-Cola,Retail,13936,1.06,14758.49,0.68,9488.39,5270.1
T00126,01-01-2023,Upper Bavaria,Rosenheim,Coca-Cola,Supermarket,11990,0.8,9602.62,0.52,6183.97,3418.65
T00127,01-01-2023,Upper Bavaria,Rosenheim,Coca-Cola,Club/Bar,17006,0.82,13932.49,0.64,10873.22,3059.27
T00128,01-01-2023,Upper Bavaria,Rosenheim,Coca-Cola,Online,12388,1.17,14493.46,0.53,6558.29,7935.17
T00129,01-01-2023,Upper Bavaria,Rosenheim,Pepsi,Retail,12181,1.03,12578.67,0.58,7107.9,5470.77
T00130,01-01-2023,Upper Bavaria,Rosenheim,Pepsi,Supermarket,19492,1.05,20390.51,0.54,10553.33,9837.18
T00131,01-01-2023,Upper Bavaria,Rosenheim,Pepsi,Club/Bar,14981,1.09,16279.7,0.61,9145.49,7134.21
T00132,01-01-2023,Upper Bavaria,Rosenheim,Pepsi,Online,13524,0.87,11827.08,0.67,9052.72,2774.36
T00133,01-02-2023,Lower Franconia,Munich,Club-Mate,Retail,5163,1.28,6590.19,0.91,4702.4,1887.79
T00134,01-02-2023,Lower Franconia,Munich,Club-Mate,Supermarket,4301,1.42,6113.52,0.87,3741.54,2371.98
T00135,01-02-2023,Lower Franconia,Munich,Club-Mate,Club/Bar,2552,1.43,3638.82,0.96,2461.89,1176.94
T00136,01-02-2023,Lower Franconia,Munich,Club-Mate,Online,2566,1.36,3479.14,0.98,2504.69,974.45
T00137,01-02-2023,Lower Franconia,Munich,Coca-Cola,Retail,15605,1.15,17922.44,0.51,7884.97,10037.46
T00138,01-02-2023,Lower Franconia,Munich,Coca-Cola,Supermarket,18955,0.95,18098.96,0.65,12321.24,5777.72
T00139,01-02-2023,Lower Franconia,Munich,Coca-Cola,Club/Bar,17660,0.86,15127.01,0.64,11273.91,3853.1
T00140,01-02-2023,Lower Franconia,Munich,Coca-Cola,Online,15923,1.11,17730.37,0.58,9278.82,8451.55
T00141,01-02-2023,Lower Franconia,Munich,Pepsi,Retail,12854,1.15,14747.84,0.5,6467.37,8280.47
T00142,01-02-2023,Lower Franconia,Munich,Pepsi,Supermarket,11464,0.82,9446.69,0.59,6808.57,2638.12
T00143,01-02-2023,Lower Franconia,Munich,Pepsi,Club/Bar,16195,1.11,18013.46,0.66,10768.03,7245.43
T00144,01-02-2023,Lower Franconia,Munich,Pepsi,Online,8744,0.99,8641.84,0.67,5842.36,2799.48
T00145,01-02-2023,Upper Franconia,Nuremberg,Club-Mate,Retail,4329,1.3,5616.6,0.95,4097.29,1519.31
T00146,01-02-2023,Upper Franconia,Nuremberg,Club-Mate,Supermarket,2168,1.22,2643.25,0.9,1960.9,682.35
T00147,01-02-2023,Upper Franconia,Nuremberg,Club-Mate,Club/Bar,6337,1.26,7977.87,0.96,6067.97,1909.9
T00148,01-02-2023,Upper Franconia,Nuremberg,Club-Mate,Online,5085,1.4,7097.4,0.86,4348.44,2748.96
T00149,01-02-2023,Upper Franconia,Nuremberg,Coca-Cola,Retail,10030,1.19,11921.42,0.68,6772.58,5148.84
T00150,01-02-2023,Upper Franconia,Nuremberg,Coca-Cola,Supermarket,19719,1.08,21350.09,0.64,12540.39,8809.69
T00151,01-02-2023,Upper Franconia,Nuremberg,Coca-Cola,Club/Bar,16971,1.04,17698.32,0.53,8950.66,8747.67
T00152,01-02-2023,Upper Franconia,Nuremberg,Coca-Cola,Online,9890,1.16,11471.05,0.58,5710.18,5760.87
T00153,01-02-2023,Upper Franconia,Nuremberg,Pepsi,Retail,9644,1.11,10693.5,0.55,5349.07,5344.44
T00154,01-02-2023,Upper Franconia,Nuremberg,Pepsi,Supermarket,13948,0.96,13398.85,0.68,9534.95,3863.9
T00155,01-02-2023,Upper Franconia,Nuremberg,Pepsi,Club/Bar,13425,1.04,13991.4,0.67,8956.18,5035.22
T00156,01-02-2023,Upper Franconia,Nuremberg,Pepsi,Online,14448,0.85,12222.66,0.65,9408.54,2814.12
T00157,01-02-2023,Lower Bavaria,Augsburg,Club-Mate,Retail,5689,1.43,8159.89,0.96,5453.82,2706.07
T00158,01-02-2023,Lower Bavaria,Augsburg,Club-Mate,Supermarket,2719,1.5,4071.55,0.84,2295.7,1775.84
T00159,01-02-2023,Lower Bavaria,Augsburg,Club-Mate,Club/Bar,5655,1.28,7218.17,0.94,5289.71,1928.47
T00160,01-02-2023,Lower Bavaria,Augsburg,Club-Mate,Online,6406,1.21,7774.69,0.86,5524.33,2250.36
T00161,01-02-2023,Lower Bavaria,Augsburg,Coca-Cola,Retail,8767,0.93,8138.87,0.6,5240.71,2898.17
T00162,01-02-2023,Lower Bavaria,Augsburg,Coca-Cola,Supermarket,10380,1.11,11479.05,0.61,6380.72,5098.33
T00163,01-02-2023,Lower Bavaria,Augsburg,Coca-Cola,Club/Bar,16808,1.09,18315.55,0.63,10589.04,7726.51
T00164,01-02-2023,Lower Bavaria,Augsburg,Coca-Cola,Online,9608,1.05,10089.92,0.55,5299.98,4789.94
T00165,01-02-2023,Lower Bavaria,Augsburg,Pepsi,Retail,10884,0.91,9955.62,0.52,5621.32,4334.3
T00166,01-02-2023,Lower Bavaria,Augsburg,Pepsi,Supermarket,19946,0.89,17759.15,0.52,10361.05,7398.1
T00167,01-02-2023,Lower Bavaria,Augsburg,Pepsi,Club/Bar,8921,1.07,9521.77,0.66,5916.13,3605.64
T00168,01-02-2023,Lower Bavaria,Augsburg,Pepsi,Online,14806,0.91,13423.94,0.53,7854.42,5569.52
T00169,01-02-2023,Upper Palatinate,Regensburg,Club-Mate,Retail,6182,1.31,8103.49,0.83,5144.44,2959.05
T00170,01-02-2023,Upper Palatinate,Regensburg,Club-Mate,Supermarket,6623,1.25,8290.55,0.91,6029.9,2260.66
T00171,01-02-2023,Upper Palatinate,Regensburg,Club-Mate,Club/Bar,3617,1.23,4435.31,0.94,3413.37,1021.93
T00172,01-02-2023,Upper Palatinate,Regensburg,Club-Mate,Online,3335,1.42,4741.79,0.84,2814.75,1927.04
T00173,01-02-2023,Upper Palatinate,Regensburg,Coca-Cola,Retail,14621,1.02,14908.8,0.54,7910.63,6998.16
T00174,01-02-2023,Upper Palatinate,Regensburg,Coca-Cola,Supermarket,12612,1.04,13068.7,0.65,8215.91,4852.79
T00175,01-02-2023,Upper Palatinate,Regensburg,Coca-Cola,Club/Bar,19478,1.19,23156.29,0.55,10657.63,12498.67
T00176,01-02-2023,Upper Palatinate,Regensburg,Coca-Cola,Online,8383,1.03,8650.17,0.56,4684.93,3965.24
T00177,01-02-2023,Upper Palatinate,Regensburg,Pepsi,Retail,11544,0.92,10602.7,0.55,6349.03,4253.67
T00178,01-02-2023,Upper Palatinate,Regensburg,Pepsi,Supermarket,11652,1.16,13478.61,0.68,7929.32,5549.29
T00179,01-02-2023,Upper Palatinate,Regensburg,Pepsi,Club/Bar,14171,0.83,11785.75,0.57,8142.22,3643.53
T00180,01-02-2023,Upper Palatinate,Regensburg,Pepsi,Online,10134,0.99,10006.13,0.66,6725.39,3280.74
T00181,01-02-2023,Upper Franconia,Würzburg,Club-Mate,Retail,6722,1.25,8371.08,0.95,6405.13,1965.95
T00182,01-02-2023,Upper Franconia,Würzburg,Club-Mate,Supermarket,6605,1.28,8444.49,0.9,5930.3,2514.19
T00183,01-02-2023,Upper Franconia,Würzburg,Club-Mate,Club/Bar,4464,1.37,6126.76,0.96,4279.32,1847.44
T00184,01-02-2023,Upper Franconia,Würzburg,Club-Mate,Online,4220,1.25,5264.21,0.99,4172.98,1091.23
T00185,01-02-2023,Upper Franconia,Würzburg,Coca-Cola,Retail,17354,1.05,18202.55,0.57,9872.52,8330.03
T00186,01-02-2023,Upper Franconia,Würzburg,Coca-Cola,Supermarket,14414,0.86,12369.74,0.6,8699.65,3670.09
T00187,01-02-2023,Upper Franconia,Würzburg,Coca-Cola,Club/Bar,9342,0.93,8653.69,0.61,5658.71,2994.98
T00188,01-02-2023,Upper Franconia,Würzburg,Coca-Cola,Online,19844,0.86,17078.53,0.55,10849.37,6229.16
T00189,01-02-2023,Upper Franconia,Würzburg,Pepsi,Retail,9392,1.08,10179.94,0.63,5880.27,4299.67
T00190,01-02-2023,Upper Franconia,Würzburg,Pepsi,Supermarket,8893,1.04,9208.39,0.51,4519.27,4689.12
T00191,01-02-2023,Upper Franconia,Würzburg,Pepsi,Club/Bar,8211,0.82,6770.92,0.62,5072.25,1698.67
T00192,01-02-2023,Upper Franconia,Würzburg,Pepsi,Online,11071,0.99,10963.78,0.62,6910.15,4053.63
T00193,01-02-2023,Lower Bavaria,Ingolstadt,Club-Mate,Retail,6727,1.39,9334.42,0.85,5712.45,3621.96
T00194,01-02-2023,Lower Bavaria,Ingolstadt,Club-Mate,Supermarket,3651,1.23,4504.86,0.89,3240.45,1264.42
T00195,01-02-2023,Lower Bavaria,Ingolstadt,Club-Mate,Club/Bar,6007,1.27,7604.11,0.82,4911.32,2692.79
T00196,01-02-2023,Lower Bavaria,Ingolstadt,Club-Mate,Online,4975,1.29,6411.33,0.89,4417.07,1994.26
T00197,01-02-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Retail,17250,1.12,19350.78,0.68,11723.52,7627.25
T00198,01-02-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Supermarket,17019,0.93,15778.8,0.58,9856.02,5922.78
T00199,01-02-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Club/Bar,12647,1.19,15053.55,0.64,8058.46,6995.08
T00200,01-02-2023,Lower Bavaria,Ingolstadt,Coca-Cola,Online,14336,1.08,15419.42,0.51,7325.8,8093.62
T00201,01-02-2023,Lower Bavaria,Ingolstadt,Pepsi,Retail,19895,0.96,19064.63,0.56,11141.18,7923.44
T00202,01-02-2023,Lower Bavaria,Ingolstadt,Pepsi,Supermarket,19213,0.98,18798.44,0.62,11903.6,6894.84
T00203,01-02-2023,Lower Bavaria,Ingolstadt,Pepsi,Club/Bar,14770,0.99,14658.92,0.63,9373.05,5285.87
T00204,01-02-2023,Lower Bavaria,Ingolstadt,Pepsi,Online,14172,0.82,11651.05,0.63,8920.96,2730.09
T00205,01-02-2023,Upper Franconia,Erlangen,Club-Mate,Retail,6621,1.38,9124.06,0.83,5516.97,3607.09
T00206,01-02-2023,Upper Franconia,Erlangen,Club-Mate,Supermarket,6117,1.29,7901.46,0.87,5335.74,2565.72
T00207,01-02-2023,Upper Franconia,Erlangen,Club-Mate,Club/Bar,6730,1.46,9845.04,0.98,6562.91,3282.13
T00208,01-02-2023,Upper Franconia,Erlangen,Club-Mate,Online,3419,1.26,4297.17,0.89,3057.09,1240.07
T00209,01-02-2023,Upper Franconia,Erlangen,Coca-Cola,Retail,15227,0.92,14029.87,0.57,8638.99,5390.87
T00210,01-02-2023,Upper Franconia,Erlangen,Coca-Cola,Supermarket,18438,1.03,18975.47,0.51,9329.48,9646
T00211,01-02-2023,Upper Franconia,Erlangen,Coca-Cola,Club/Bar,16739,1.19,19871.78,0.66,10986.77,8885.01
T00212,01-02-2023,Upper Franconia,Erlangen,Coca-Cola,Online,15035,0.89,13431.75,0.52,7780.37,5651.37
T00213,01-02-2023,Upper Franconia,Erlangen,Pepsi,Retail,8913,1.19,10569.87,0.65,5820.28,4749.59
T00214,01-02-2023,Upper Franconia,Erlangen,Pepsi,Supermarket,15616,0.89,13947.99,0.65,10159.56,3788.43
T00215,01-02-2023,Upper Franconia,Erlangen,Pepsi,Club/Bar,19797,1.19,23501.25,0.52,10234.81,13266.44
T00216,01-02-2023,Upper Franconia,Erlangen,Pepsi,Online,13325,0.85,11364.29,0.63,8444.98,2919.31
T00217,01-02-2023,Upper Bavaria,Bayreuth,Club-Mate,Retail,3689,1.31,4839.2,0.83,3055.92,1783.28
T00218,01-02-2023,Upper Bavaria,Bayreuth,Club-Mate,Supermarket,3215,1.5,4807.48,0.93,3000.58,1806.9
T00219,01-02-2023,Upper Bavaria,Bayreuth,Club-Mate,Club/Bar,4166,1.34,5564.37,0.96,4018.24,1546.12
